rho (¦Ìm), A_phi (T¡¤m), A_phi_fitted (T¡¤m)
1.565656565656565746e+00,1.573969652707613296e-07,1.573969652707613296e-07
1.590909090909090828e+00,1.599356260009348896e-07,1.599356260009348896e-07
1.616161616161616132e+00,1.624742867311084761e-07,1.624742867311084761e-07
1.641414141414141437e+00,1.650129474612820626e-07,1.650129474612820626e-07
1.666666666666666741e+00,1.675516081914556226e-07,1.675516081914556226e-07
1.691919191919192045e+00,1.700902689216291826e-07,1.700902689216291826e-07
1.717171717171717127e+00,1.726289296518027426e-07,1.726289296518027426e-07
1.742424242424242431e+00,1.751675903819763291e-07,1.751675903819763291e-07
1.767676767676767513e+00,1.777062511121498626e-07,1.777062511121498626e-07
1.792929292929293039e+00,1.802449118423234491e-07,1.802449118423234491e-07
1.818181818181818343e+00,1.827835725724970621e-07,1.827835725724970621e-07
1.843434343434343425e+00,1.853222333026705956e-07,1.853222333026705956e-07
1.868686868686868729e+00,1.878608940328441821e-07,1.878608940328441821e-07
1.893939393939393812e+00,1.903995547630177421e-07,1.903995547630177421e-07
1.919191919191919338e+00,1.929382154931913021e-07,1.929382154931913021e-07
1.944444444444444420e+00,1.954768762233648621e-07,1.954768762233648621e-07
1.969696969696969946e+00,1.980155369535384486e-07,1.980155369535384486e-07
1.994949494949495028e+00,2.005541976837120086e-07,2.005541976837120086e-07
2.020202020202020332e+00,2.030928584138855686e-07,2.030928584138855686e-07
2.045454545454545414e+00,2.056315191440591287e-07,2.056315191440591287e-07
2.070707070707070940e+00,2.081701798742327416e-07,2.081701798742327416e-07
2.095959595959596022e+00,2.107088406044063016e-07,2.107088406044063016e-07
2.121212121212121104e+00,2.132475013345798616e-07,2.132475013345798616e-07
2.146464646464646631e+00,2.157861620647534481e-07,2.157861620647534481e-07
2.171717171717171713e+00,2.183248227949270081e-07,2.183248227949270081e-07
2.196969696969696795e+00,2.208634835251005681e-07,2.208634835251005681e-07
2.222222222222221877e+00,2.234021442552741282e-07,2.234021442552741282e-07
2.247474747474747847e+00,2.259408049854477411e-07,2.259408049854477411e-07
2.272727272727272929e+00,2.284794657156213011e-07,2.284794657156213011e-07
2.297979797979798011e+00,2.310181264457948611e-07,2.310181264457948611e-07
